source,candidate,station,y_mm,chord_mm,reflex_deg,twist_deg,hinge_xc,te_thickness_mm,hinge_gap_mm,speed_kmh,reynolds,ncrit,deflection_deg_te_down_positive,alpha_deg,cl,cd,cm_c4
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,2.300000,0.6273000,0.0112300,-0.0315000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,2.800000,0.6820000,0.0117400,-0.0314000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,3.300000,0.7362000,0.0123200,-0.0313000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,3.800000,0.7899000,0.0129500,-0.0312000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,4.300000,0.8428000,0.0136600,-0.0310000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,4.800000,0.8951000,0.0144100,-0.0307000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,5.300000,0.9463000,0.0152600,-0.0304000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,5.800000,0.9963000,0.0162000,-0.0299000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,6.300000,1.0446000,0.0172700,-0.0293000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,6.800000,1.0911000,0.0184600,-0.0286000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-11.400000,-0.4837000,0.0313200,-0.0974000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-10.900000,-0.4381000,0.0271300,-0.0990000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-10.400000,-0.3898000,0.0240800,-0.0994000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-9.900000,-0.3391000,0.0220400,-0.0999000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-9.400000,-0.2878000,0.0201400,-0.1003000
